date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:27	142/142	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Mar%202025%2003:50:27%20GMT	https://reberhardt.com/robots.txt		(from )
19:50:27	13777/13777	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Apr%202021%2004:13:40%20GMT	https://reberhardt.com/cs110l/spring-2020/	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/index.html	(from )
19:50:28	194/194	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Mar%202025%2003:50:27%20GMT	http://reberhardt.com/cs110l/spring-2020//review.css	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/review.0.delayed	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:28	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Mar%202025%2003:50:28%20GMT	https://reberhardt.com/cs110l/spring-2020//review.css	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/review.css	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:28	194/194	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Mar%202025%2003:50:28%20GMT	http://reberhardt.com/cs110l/spring-2020//codemirror.css	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/codemirror.css	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:28	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Mar%202025%2003:50:28%20GMT	https://reberhardt.com/cs110l/spring-2020//codemirror.css	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/codemirror.css	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:29	194/194	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Mar%202025%2003:50:28%20GMT	http://reberhardt.com/cs110l/spring-2020//style.css	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/style.css	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:29	5670/5670	---MCZ	200	added ('OK')	text/css	etag:W/%2260824953-1626%22	https://reberhardt.com/cs110l/spring-2020//style.css	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/style.css	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:29	4856884/4856884	---M--	200	added ('OK')	application/pdf	etag:%225e8bf938-4a1c34%22	https://reberhardt.com/cs110l/spring-2020/slides/lecture-01.pdf	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/slides/lecture-01.pdf	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:29	305432/305432	---M--	200	added ('OK')	application/pdf	etag:%225e8f6025-4a918%22	https://reberhardt.com/cs110l/spring-2020/slides/lecture-02.pdf	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/slides/lecture-02.pdf	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:29	194/194	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Mar%202025%2003:50:29%20GMT	https://reberhardt.com/cs110l/spring-2020/lecture-notes/lecture-02	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/lecture-notes/lecture-02	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:29	820146/820146	---M--	200	added ('OK')	application/pdf	etag:%225e956db9-c83b2%22	https://reberhardt.com/cs110l/spring-2020/slides/lecture-03.pdf	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/slides/lecture-03.pdf	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:30	194/194	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Mar%202025%2003:50:29%20GMT	https://reberhardt.com/cs110l/spring-2020/lecture-notes/lecture-04	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/lecture-notes/lecture-04	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:30	2011/2011	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Apr%202021%2004:13:40%20GMT	https://reberhardt.com/cs110l/spring-2020/pages/schedule/	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/pages/schedule/index.html	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:30	791710/791710	---M--	200	added ('OK')	application/pdf	etag:%225e9ea177-c149e%22	https://reberhardt.com/cs110l/spring-2020/slides/lecture-05.pdf	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/slides/lecture-05.pdf	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:30	69795/69795	---M--	200	added ('OK')	application/pdf	etag:%225ea1cbf8-110a3%22	https://reberhardt.com/cs110l/spring-2020/slides/lecture-06.pdf	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/slides/lecture-06.pdf	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:30	242525/242525	---M--	200	added ('OK')	application/pdf	etag:%225eae7036-3b35d%22	https://reberhardt.com/cs110l/spring-2020/slides/lecture-07.pdf	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/slides/lecture-07.pdf	(from https://reberhardt.com/cs110l/spring-2020/)
19:50:31	194/194	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Mar%202025%2003:50:30%20GMT	https://reberhardt.com/cs110l/spring-2020/lecture-notes/lecture-07	D:/httprack_sites/cs100l/reberhardt.com/cs110l/spring-2020/lecture-notes/lecture-07	(from https://reberhardt.com/cs110l/spring-2020/)
